tmsp,country,amount,success,PSP,3D_secured,card
2024-01-01 11:03:19,Austria,411.95,0,PSP2,1,Platinum
2024-01-01 11:04:48,France,49.67,1,PSP2,0,Gold
2024-01-01 11:15:44,Germany,217.81,1,PSP5,1,Gold
2024-01-01 11:25:03,Spain,290.71,0,PSP3,0,Gold
2024-01-01 11:28:54,Spain,179.43,0,PSP4,1,Platinum
2024-01-01 11:29:48,Spain,375.42,0,PSP1,1,Visa
2024-01-01 11:39:08,Germany,126.93,0,PSP1,1,Platinum
2024-01-01 11:39:11,Germany,126.93,0,PSP1,1,Platinum
2024-01-01 11:39:27,Germany,126.93,0,PSP1,1,Platinum
2024-01-01 11:39:35,Germany,126.93,0,PSP1,1,Platinum
2024-01-01 11:42:13,Spain,20.71,0,PSP4,0,Platinum
2024-01-01 11:42:29,Spain,102.95,1,PSP5,1,Platinum
2024-01-01 11:46:20,Austria,173.07,1,PSP1,1,Master
2024-01-01 11:48:43,France,406.04,0,PSP4,1,Gold
2024-01-01 11:49:56,Spain,295.41,0,PSP3,1,Platinum
2024-01-01 11:50:17,Spain,295.41,0,PSP3,1,Platinum
2024-01-01 11:50:20,France,42.48,1,PSP1,1,Visa
2024-01-01 11:50:39,Spain,295.41,0,PSP3,1,Platinum
2024-01-01 12:17:57,Austria,396.16,0,PSP5,1,Visa
2024-01-01 12:18:49,Austria,396.16,0,PSP5,1,Visa
2024-01-01 12:18:52,Austria,396.16,0,PSP5,1,Visa
2024-01-01 12:20:51,Austria,193.07,1,PSP5,0,Gold
2024-01-01 12:30:05,France,188.05,0,PSP3,1,Master
2024-01-01 13:10:52,Germany,222.04,0,PSP3,0,Platinum
2024-01-01 13:10:57,Germany,222.04,0,PSP3,0,Platinum
2024-01-01 13:11:04,Germany,222.04,0,PSP3,0,Platinum
2024-01-01 13:11:31,Germany,222.04,0,PSP3,0,Platinum
2024-01-01 13:20:52,Germany,339.69,0,PSP3,0,Master
2024-01-01 13:37:05,France,259.49,1,PSP4,1,Visa
2024-01-01 13:38:51,Germany,15.92,1,PSP3,1,Platinum
2024-01-01 13:47:48,Spain,405.05,1,PSP3,1,Gold
2024-01-01 13:48:15,Germany,414.59,0,PSP1,0,Gold
2024-01-01 13:50:19,Austria,322.77,1,PSP5,1,Gold
2024-01-01 13:53:44,Spain,261.1,0,PSP5,1,Platinum
2024-01-01 13:58:27,Germany,18.29,0,PSP2,0,Master
2024-01-01 14:05:13,France,19.94,0,PSP1,0,Master
2024-01-01 14:07:15,Germany,364.0,1,PSP5,0,Gold
2024-01-01 14:17:38,Germany,342.73,1,PSP1,1,Platinum
2024-01-01 14:17:42,Spain,454.95,1,PSP4,1,Master
2024-01-01 14:32:19,Germany,379.99,0,PSP5,1,Gold
2024-01-01 14:34:50,Germany,290.87,0,PSP1,1,Platinum
2024-01-01 14:35:20,Germany,290.87,0,PSP1,1,Platinum
2024-01-01 14:35:26,Germany,290.87,0,PSP1,1,Platinum
2024-01-01 14:35:31,Germany,290.87,0,PSP1,1,Platinum
2024-01-01 14:40:43,France,470.45,0,PSP4,1,Platinum
2024-01-01 14:42:12,Germany,263.74,1,PSP5,0,Master
2024-01-01 14:52:40,Austria,359.93,0,PSP5,0,Visa
2024-01-01 15:00:42,France,479.95,0,PSP3,1,Gold
2024-01-01 15:02:17,Spain,341.42,1,PSP1,1,Gold
2024-01-01 15:09:56,Spain,188.33,0,PSP3,0,Master
2024-01-01 15:13:12,Germany,236.83,1,PSP3,0,Master
2024-01-01 15:15:43,Austria,234.31,0,PSP4,0,Platinum
2024-01-01 15:27:49,Germany,456.06,0,PSP2,0,Platinum
2024-01-01 15:28:17,Austria,372.07,1,PSP3,1,Visa
2024-01-01 15:28:24,Germany,456.06,0,PSP2,0,Platinum
2024-01-01 15:54:54,Austria,234.32,1,PSP3,0,Master
2024-01-01 16:04:21,Spain,114.82,1,PSP5,0,Visa
2024-01-01 16:12:08,Germany,477.75,1,PSP1,0,Master
2024-01-01 16:14:30,Spain,143.54,0,PSP1,1,Master
2024-01-01 16:23:32,France,462.87,0,PSP3,1,Gold
2024-01-01 16:24:02,France,462.87,0,PSP3,1,Gold
2024-01-01 16:24:07,France,462.87,0,PSP3,1,Gold
2024-01-01 16:24:12,France,462.87,0,PSP3,1,Gold
2024-01-01 16:26:49,Austria,474.07,1,PSP5,1,Platinum
2024-01-01 16:30:12,France,471.9,1,PSP1,1,Master
2024-01-01 16:36:09,Germany,428.77,1,PSP2,0,Platinum
2024-01-01 16:38:22,Spain,256.51,1,PSP5,1,Platinum
2024-01-01 16:40:15,Germany,69.94,1,PSP3,0,Gold
2024-01-01 17:01:50,Spain,89.1,1,PSP4,0,Platinum
2024-01-01 17:35:18,France,357.29,0,PSP3,1,Platinum
2024-01-01 17:35:50,France,357.29,0,PSP3,1,Platinum
2024-01-01 17:35:53,Spain,373.13,1,PSP4,1,Visa
2024-01-01 17:35:58,France,357.29,0,PSP3,1,Platinum
2024-01-01 17:36:11,France,357.29,0,PSP3,1,Platinum
2024-01-01 17:41:30,Austria,296.21,0,PSP2,1,Gold
2024-01-01 17:46:22,France,304.77,1,PSP2,1,Master
2024-01-01 17:50:28,Austria,293.41,1,PSP4,0,Platinum
2024-01-01 18:00:40,Germany,435.18,1,PSP5,0,Visa
2024-01-01 18:10:01,Austria,158.42,0,PSP4,0,Platinum
2024-01-01 18:24:18,Austria,102.77,0,PSP4,1,Gold
2024-01-01 18:24:34,Spain,352.45,0,PSP3,0,Gold
2024-01-01 18:24:45,Austria,102.77,0,PSP4,1,Gold
2024-01-01 18:25:06,Spain,352.45,0,PSP3,0,Gold
2024-01-01 18:25:16,Spain,352.45,0,PSP3,0,Gold
2024-01-01 18:25:33,Spain,352.45,0,PSP3,0,Gold
2024-01-01 19:10:11,Austria,380.7,1,PSP3,1,Master
2024-01-01 19:11:02,Spain,12.23,1,PSP3,1,Visa
2024-01-01 19:16:12,France,104.08,1,PSP5,0,Platinum
2024-01-01 19:41:46,Germany,18.72,1,PSP5,1,Platinum
2024-01-01 19:42:54,Spain,192.23,1,PSP2,0,Master
2024-01-01 19:45:38,Germany,78.37,1,PSP4,1,Master
2024-01-01 20:01:01,Austria,53.01,1,PSP1,1,Master
2024-01-01 20:04:46,France,455.32,1,PSP5,0,Gold
2024-01-01 20:08:50,Germany,420.81,0,PSP3,0,Master
2024-01-01 20:24:55,Germany,35.88,0,PSP5,1,Master
2024-01-01 20:33:16,Austria,166.16,1,PSP5,0,Platinum
2024-01-01 20:41:26,Spain,355.83,0,PSP5,1,Visa
2024-01-01 20:41:55,Spain,355.83,0,PSP5,1,Visa
2024-01-01 20:42:00,Spain,355.83,0,PSP5,1,Visa
2024-01-01 20:42:12,Spain,355.83,0,PSP5,1,Visa
2024-01-01 20:56:01,France,65.79,1,PSP5,0,Gold
2024-01-01 21:05:10,France,21.99,1,PSP5,1,Visa
2024-01-01 21:06:46,France,15.68,1,PSP5,0,Gold
2024-01-01 21:11:18,Austria,106.11,0,PSP2,1,Gold
2024-01-01 21:14:34,Germany,256.05,1,PSP4,1,Platinum
2024-01-01 21:24:51,Germany,367.59,1,PSP2,1,Master
2024-01-01 21:25:50,Austria,229.8,0,PSP1,1,Master
2024-01-01 21:40:48,Germany,34.2,0,PSP5,1,Visa
2024-01-01 21:41:21,Germany,34.2,0,PSP5,1,Visa
2024-01-01 21:46:16,Spain,99.99,0,PSP4,1,Gold
2024-01-01 21:46:38,Spain,99.99,0,PSP4,1,Gold
2024-01-01 21:47:06,Spain,99.99,0,PSP4,1,Gold
2024-01-01 21:50:34,Germany,416.39,0,PSP4,0,Visa
2024-01-01 21:52:18,Spain,206.61,0,PSP4,1,Platinum
2024-01-01 21:55:48,Austria,53.26,0,PSP4,1,Visa
2024-01-01 22:17:25,Germany,81.62,1,PSP5,1,Gold
2024-01-01 22:26:04,Germany,41.06,1,PSP2,1,Gold
2024-01-01 22:36:09,Germany,405.03,1,PSP3,0,Platinum
2024-01-01 22:39:48,Spain,100.65,1,PSP1,1,Visa
2024-01-01 22:43:40,France,311.22,0,PSP4,0,Gold
2024-01-01 22:44:38,France,311.22,0,PSP4,0,Gold
2024-01-01 22:53:10,Spain,344.04,0,PSP1,1,Visa
2024-01-01 23:19:33,Germany,373.94,0,PSP2,0,Platinum
2024-01-01 23:34:09,France,357.31,1,PSP3,1,Gold
2024-01-01 23:34:17,Austria,406.15,1,PSP1,0,Master
2024-01-01 23:45:45,Austria,498.15,1,PSP3,0,Master
2024-01-01 23:48:48,France,208.73,0,PSP3,0,Master
2024-01-01 23:49:37,Spain,169.22,1,PSP2,1,Platinum
2024-01-02 00:08:08,France,266.19,0,PSP4,0,Gold
2024-01-02 00:23:27,France,58.07,1,PSP3,0,Gold
2024-01-02 00:46:17,Spain,182.27,1,PSP1,0,Platinum
2024-01-02 00:52:13,Germany,199.15,0,PSP1,1,Gold
2024-01-02 01:01:50,France,217.45,1,PSP4,1,Platinum
2024-01-02 01:18:15,Austria,418.54,1,PSP4,1,Master
2024-01-02 01:33:55,Spain,269.82,1,PSP3,0,Platinum
2024-01-02 01:44:09,Germany,321.68,0,PSP5,1,Platinum
2024-01-02 01:46:42,France,169.38,1,PSP5,1,Platinum
2024-01-02 01:51:41,France,305.62,0,PSP4,0,Gold
2024-01-02 01:52:49,Spain,275.33,0,PSP3,0,Visa
2024-01-02 02:12:27,Germany,485.3,0,PSP5,0,Visa
2024-01-02 02:12:42,Germany,485.3,0,PSP5,0,Visa
2024-01-02 02:30:59,Austria,434.11,1,PSP3,1,Platinum
2024-01-02 02:41:04,France,40.91,0,PSP3,0,Platinum
2024-01-02 02:59:05,Austria,287.87,0,PSP5,0,Gold
2024-01-02 03:01:35,Austria,422.19,1,PSP3,0,Visa
2024-01-02 03:04:04,Germany,291.03,0,PSP4,0,Gold
2024-01-02 03:18:20,France,144.41,0,PSP2,1,Platinum
2024-01-02 03:18:27,Germany,394.6,1,PSP5,1,Master
2024-01-02 03:29:19,Austria,318.2,1,PSP3,0,Visa
2024-01-02 03:29:32,Spain,471.31,1,PSP3,0,Visa
2024-01-02 03:34:02,France,220.84,0,PSP2,0,Platinum
2024-01-02 03:39:56,Germany,340.74,0,PSP4,0,Master
2024-01-02 03:40:03,Germany,340.74,0,PSP4,0,Master
2024-01-02 03:43:15,Austria,419.99,1,PSP3,1,Platinum
2024-01-02 03:53:11,Austria,110.68,1,PSP3,1,Visa
2024-01-02 04:40:37,Germany,214.6,1,PSP4,0,Platinum
2024-01-02 04:46:38,Germany,113.75,0,PSP3,0,Visa
2024-01-02 04:51:58,Germany,297.43,1,PSP2,0,Visa
2024-01-02 05:02:32,Spain,383.95,0,PSP2,0,Platinum
2024-01-02 05:11:21,Austria,417.94,1,PSP5,1,Master
2024-01-02 05:12:01,Austria,243.51,0,PSP2,0,Gold
2024-01-02 05:12:07,Austria,243.51,0,PSP2,0,Gold
2024-01-02 05:26:41,Spain,102.92,0,PSP2,0,Gold
2024-01-02 05:26:53,Spain,102.92,0,PSP2,0,Gold
2024-01-02 05:27:21,Spain,102.92,0,PSP2,0,Gold
2024-01-02 05:30:19,France,447.78,0,PSP1,0,Platinum
2024-01-02 05:31:13,France,447.78,0,PSP1,0,Platinum
2024-01-02 05:43:27,France,243.56,0,PSP5,0,Platinum
2024-01-02 05:43:43,Austria,114.02,0,PSP3,0,Master
2024-01-02 05:44:37,Germany,167.87,1,PSP1,1,Gold
2024-01-02 05:44:38,Austria,114.02,0,PSP3,0,Master
2024-01-02 05:45:47,Austria,131.79,0,PSP3,1,Master
2024-01-02 05:53:45,Germany,61.98,1,PSP4,1,Visa
2024-01-02 05:59:23,France,26.9,1,PSP2,0,Gold
2024-01-02 05:59:41,Austria,338.85,0,PSP2,1,Visa
2024-01-02 06:05:23,Austria,77.82,0,PSP4,0,Visa
2024-01-02 06:16:37,Austria,10.39,0,PSP4,0,Master
2024-01-02 06:16:40,Austria,10.39,0,PSP4,0,Master
2024-01-02 06:17:02,Austria,10.39,0,PSP4,0,Master
2024-01-02 06:17:34,Austria,10.39,0,PSP4,0,Master
2024-01-02 06:32:35,Austria,319.81,0,PSP4,1,Master
2024-01-02 06:33:16,Austria,319.81,0,PSP4,1,Master
2024-01-02 07:01:21,Germany,337.32,1,PSP4,1,Visa
2024-01-02 07:03:34,Germany,101.08,1,PSP1,0,Master
2024-01-02 07:29:06,France,149.89,1,PSP4,1,Platinum
2024-01-02 07:44:30,Spain,44.28,0,PSP1,1,Master
2024-01-02 07:44:37,Spain,44.28,0,PSP1,1,Master
2024-01-02 07:45:15,Spain,44.28,0,PSP1,1,Master
2024-01-02 07:59:30,Germany,453.33,1,PSP4,0,Gold
2024-01-02 08:00:14,Austria,244.77,1,PSP1,1,Master
2024-01-02 08:00:39,Germany,411.28,0,PSP1,1,Platinum
2024-01-02 08:08:56,Spain,151.59,1,PSP5,1,Master
2024-01-02 08:10:23,France,316.2,0,PSP5,0,Gold
2024-01-02 08:11:25,Germany,108.82,1,PSP2,0,Platinum
2024-01-02 08:20:23,Austria,327.9,1,PSP4,0,Visa
2024-01-02 08:24:52,France,70.91,1,PSP5,1,Master
2024-01-02 08:51:43,Austria,55.43,0,PSP4,0,Master
2024-01-02 08:52:33,Austria,55.43,0,PSP4,0,Master
2024-01-02 08:54:22,France,452.92,0,PSP5,0,Platinum
2024-01-02 08:54:50,France,452.92,0,PSP5,0,Platinum
2024-01-02 08:55:04,France,452.92,0,PSP5,0,Platinum
2024-01-02 08:56:26,Austria,245.67,1,PSP5,1,Master
2024-01-02 09:03:38,Austria,368.61,0,PSP1,1,Gold
2024-01-02 09:03:42,Austria,368.61,0,PSP1,1,Gold
2024-01-02 09:04:09,Austria,368.61,0,PSP1,1,Gold
2024-01-02 09:31:11,Germany,331.06,0,PSP2,0,Master
2024-01-02 09:38:36,Spain,165.89,0,PSP5,1,Master
2024-01-02 09:38:47,Spain,165.89,0,PSP5,1,Master
2024-01-02 09:39:25,Spain,75.07,0,PSP2,1,Platinum
2024-01-02 09:51:56,France,370.78,1,PSP1,1,Visa
2024-01-02 09:56:58,Spain,460.82,0,PSP4,1,Master
2024-01-02 10:00:06,Austria,406.98,1,PSP3,1,Platinum
2024-01-02 10:21:06,Spain,245.95,1,PSP1,0,Visa
2024-01-02 10:38:33,Spain,215.42,0,PSP3,0,Visa
2024-01-02 10:39:25,Spain,215.42,0,PSP3,0,Visa
2024-01-02 10:41:56,Austria,403.98,1,PSP5,0,Platinum
2024-01-02 11:00:14,Austria,209.01,1,PSP2,0,Visa
2024-01-02 11:04:08,Spain,30.01,0,PSP3,1,Master
2024-01-02 11:09:30,Germany,383.8,0,PSP4,0,Gold
2024-01-02 11:16:14,Spain,16.61,1,PSP4,0,Gold
2024-01-02 11:29:28,France,252.77,0,PSP2,0,Platinum
2024-01-02 11:29:45,France,252.77,0,PSP2,0,Platinum
2024-01-02 11:31:57,Spain,241.13,0,PSP5,1,Master
2024-01-02 11:34:35,Austria,28.66,1,PSP1,1,Gold
2024-01-02 11:44:48,France,253.27,1,PSP5,0,Platinum
2024-01-02 11:54:35,France,286.9,0,PSP2,1,Gold
2024-01-02 11:56:53,Austria,407.34,1,PSP3,0,Master
2024-01-02 12:03:11,Spain,25.88,1,PSP3,0,Gold
2024-01-02 12:15:31,Germany,455.66,0,PSP3,1,Platinum
2024-01-02 12:16:25,Germany,455.66,0,PSP3,1,Platinum
2024-01-02 12:33:06,France,272.43,1,PSP1,0,Gold
2024-01-02 12:48:04,Austria,442.91,1,PSP3,0,Platinum
2024-01-02 13:17:28,Spain,403.02,1,PSP1,1,Visa
2024-01-02 13:31:50,Austria,138.57,0,PSP3,0,Visa
2024-01-02 13:32:02,Austria,138.57,0,PSP3,0,Visa
2024-01-02 13:32:09,Austria,138.57,0,PSP3,0,Visa
2024-01-02 13:32:44,Austria,138.57,0,PSP3,0,Visa
2024-01-02 13:52:35,Austria,298.56,0,PSP5,1,Platinum
2024-01-02 13:55:04,Germany,360.71,1,PSP5,1,Platinum
2024-01-02 13:56:42,France,37.06,0,PSP2,1,Platinum
2024-01-02 13:59:54,Austria,121.76,0,PSP2,1,Master
2024-01-02 14:04:06,Spain,221.78,0,PSP4,1,Master
2024-01-02 14:06:08,France,436.93,0,PSP5,0,Master
2024-01-02 14:15:27,France,492.93,1,PSP5,0,Visa
2024-01-02 14:19:52,Austria,175.32,0,PSP1,1,Gold
2024-01-02 14:20:42,Austria,175.32,0,PSP1,1,Gold
2024-01-02 14:24:42,Austria,478.43,1,PSP2,0,Master
2024-01-02 15:01:09,Austria,99.73,1,PSP3,0,Visa
2024-01-02 15:14:45,France,421.92,0,PSP5,1,Platinum
2024-01-02 15:14:59,France,421.92,0,PSP5,1,Platinum
2024-01-02 15:15:21,France,421.92,0,PSP5,1,Platinum
2024-01-02 15:38:24,Germany,293.17,0,PSP2,1,Gold
2024-01-02 15:38:36,Germany,293.17,0,PSP2,1,Gold
2024-01-02 15:52:44,Spain,102.71,1,PSP2,0,Platinum
2024-01-02 15:55:19,Germany,147.22,1,PSP2,0,Master
2024-01-02 16:35:12,Spain,30.47,0,PSP1,1,Gold
2024-01-02 16:43:42,France,385.65,1,PSP5,0,Platinum
2024-01-02 16:50:07,France,288.21,1,PSP1,0,Visa
2024-01-02 16:57:40,Spain,494.21,0,PSP4,0,Visa
2024-01-02 17:05:58,Spain,346.44,0,PSP4,1,Master
2024-01-02 17:06:22,Germany,12.94,0,PSP5,1,Master
2024-01-02 17:06:31,Germany,12.94,0,PSP5,1,Master
2024-01-02 17:06:46,Austria,337.96,1,PSP1,1,Visa
2024-01-02 17:07:11,Germany,12.94,0,PSP5,1,Master
2024-01-02 17:15:31,Spain,458.46,1,PSP4,0,Master
2024-01-02 17:23:07,France,188.68,1,PSP5,1,Master
2024-01-02 17:49:48,Austria,157.7,0,PSP5,0,Gold
2024-01-02 18:14:19,Germany,128.8,0,PSP3,0,Gold
2024-01-02 18:15:34,France,145.32,0,PSP2,1,Master
2024-01-02 18:15:45,France,145.32,0,PSP2,1,Master
2024-01-02 18:15:59,France,145.32,0,PSP2,1,Master
2024-01-02 18:34:10,France,450.4,0,PSP1,1,Master
2024-01-02 18:38:21,Spain,61.75,1,PSP3,1,Visa
2024-01-02 18:53:47,Austria,103.01,0,PSP3,0,Gold
2024-01-02 18:59:47,Spain,387.26,1,PSP1,0,Master
2024-01-02 19:11:02,Spain,221.71,0,PSP3,0,Visa
2024-01-02 19:33:43,Germany,267.49,1,PSP2,0,Platinum
2024-01-02 19:39:40,Germany,406.5,1,PSP1,0,Visa
2024-01-02 19:44:38,Austria,58.89,1,PSP4,1,Platinum
2024-01-02 20:06:33,Germany,417.0,1,PSP2,0,Platinum
2024-01-02 20:12:54,Spain,459.54,1,PSP2,0,Visa
2024-01-02 20:23:43,Germany,352.72,0,PSP1,0,Master
2024-01-02 20:41:45,Germany,59.85,0,PSP5,1,Visa
2024-01-02 20:56:02,Spain,301.9,0,PSP5,0,Gold
2024-01-02 20:58:46,Germany,158.35,1,PSP4,0,Platinum
2024-01-02 21:02:24,France,109.35,0,PSP1,1,Platinum
2024-01-02 21:03:33,Austria,152.32,0,PSP1,0,Master
2024-01-02 21:09:05,France,24.38,0,PSP4,1,Platinum
2024-01-02 21:23:39,Spain,331.43,0,PSP5,1,Visa
2024-01-02 21:34:37,Germany,496.88,1,PSP5,1,Visa
2024-01-02 21:55:25,Austria,6.61,1,PSP5,0,Visa
2024-01-02 21:57:45,Spain,223.8,1,PSP3,0,Master
2024-01-02 22:07:34,Spain,112.41,1,PSP3,0,Gold
2024-01-02 22:42:51,Germany,381.5,1,PSP1,0,Platinum
2024-01-02 22:44:34,Germany,362.08,0,PSP4,1,Visa
2024-01-02 22:49:41,Spain,84.54,0,PSP4,1,Platinum
2024-01-02 22:49:51,Spain,84.54,0,PSP4,1,Platinum
2024-01-02 22:50:18,Spain,84.54,0,PSP4,1,Platinum
2024-01-02 22:50:33,Spain,84.54,0,PSP4,1,Platinum
2024-01-02 23:13:29,France,126.03,1,PSP5,0,Platinum
2024-01-02 23:13:43,Austria,405.07,1,PSP5,1,Gold
2024-01-02 23:14:10,Germany,193.2,0,PSP4,1,Master
2024-01-02 23:15:34,Spain,163.16,1,PSP5,0,Platinum
2024-01-02 23:19:25,Germany,160.61,0,PSP3,1,Visa
2024-01-02 23:42:44,Austria,132.99,1,PSP4,0,Master
2024-01-02 23:49:25,Germany,149.46,1,PSP3,0,Gold
2024-01-02 23:51:28,Germany,37.66,0,PSP1,0,Visa
2024-01-02 23:58:06,Spain,93.72,1,PSP3,1,Platinum
2024-01-02 23:59:28,France,43.71,1,PSP5,1,Master
2024-01-03 00:08:30,Austria,398.52,0,PSP1,0,Visa
2024-01-03 00:11:10,Austria,32.34,0,PSP4,1,Gold
2024-01-03 00:11:28,Austria,32.34,0,PSP4,1,Gold
2024-01-03 00:11:34,Austria,32.34,0,PSP4,1,Gold
2024-01-03 00:30:21,Germany,377.15,1,PSP2,0,Visa
2024-01-03 00:42:54,Austria,153.34,1,PSP1,0,Gold
2024-01-03 00:53:55,Austria,246.7,1,PSP3,0,Gold
2024-01-03 00:54:20,France,357.78,1,PSP3,0,Visa
2024-01-03 00:56:34,France,446.93,0,PSP3,0,Master
2024-01-03 01:01:15,Germany,51.47,0,PSP2,0,Gold
2024-01-03 01:06:46,Austria,126.79,0,PSP3,1,Gold
2024-01-03 01:08:29,Spain,26.95,0,PSP4,1,Master
2024-01-03 01:08:39,Spain,26.95,0,PSP4,1,Master
2024-01-03 01:13:14,France,244.6,1,PSP2,0,Platinum
2024-01-03 01:24:59,Spain,321.75,0,PSP5,1,Platinum
2024-01-03 01:30:40,Spain,382.25,0,PSP5,0,Master
2024-01-03 01:30:49,Spain,382.25,0,PSP5,0,Master
2024-01-03 01:31:27,Spain,382.25,0,PSP5,0,Master
2024-01-03 01:31:32,Spain,382.25,0,PSP5,0,Master
2024-01-03 01:51:16,Austria,107.62,0,PSP2,0,Visa
